Country,Confirmed,Date
Spain,3757442,2021-06-18T00:00:00Z
Spain,3757442,2021-06-19T00:00:00Z
Spain,3757442,2021-06-20T00:00:00Z
Spain,3764651,2021-06-21T00:00:00Z
Spain,3768691,2021-06-22T00:00:00Z
Spain,3773032,2021-06-23T00:00:00Z
Spain,3777539,2021-06-24T00:00:00Z
Spain,3782463,2021-06-25T00:00:00Z
Spain,3782463,2021-06-26T00:00:00Z
Spain,3782463,2021-06-27T00:00:00Z
Spain,3792642,2021-06-28T00:00:00Z
Spain,3799733,2021-06-29T00:00:00Z
Spain,3808960,2021-06-30T00:00:00Z
Spain,3821305,2021-07-01T00:00:00Z
Spain,3833868,2021-07-02T00:00:00Z
Spain,3833868,2021-07-03T00:00:00Z
Spain,3833868,2021-07-04T00:00:00Z
Spain,3866475,2021-07-05T00:00:00Z
Spain,3880612,2021-07-06T00:00:00Z
Spain,3897996,2021-07-07T00:00:00Z
Spain,3915313,2021-07-08T00:00:00Z
Spain,3937192,2021-07-09T00:00:00Z
Spain,3937192,2021-07-10T00:00:00Z
Spain,3937192,2021-07-11T00:00:00Z
Spain,3971124,2021-07-12T00:00:00Z
Spain,4015084,2021-07-13T00:00:00Z
Spain,4041474,2021-07-14T00:00:00Z
Spain,4069162,2021-07-15T00:00:00Z
Spain,4100222,2021-07-16T00:00:00Z
Spain,4100222,2021-07-17T00:00:00Z
Spain,4100222,2021-07-18T00:00:00Z
Spain,4161850,2021-07-19T00:00:00Z
Spain,4189136,2021-07-20T00:00:00Z
Spain,4219723,2021-07-21T00:00:00Z
Spain,4249258,2021-07-22T00:00:00Z
Spain,4280429,2021-07-23T00:00:00Z
Spain,4280429,2021-07-24T00:00:00Z
Spain,4280429,2021-07-25T00:00:00Z
Spain,4342054,2021-07-26T00:00:00Z
Spain,4368453,2021-07-27T00:00:00Z
Spain,4395602,2021-07-28T00:00:00Z
Spain,4422291,2021-07-29T00:00:00Z
Spain,4447044,2021-07-30T00:00:00Z
Spain,4447044,2021-07-31T00:00:00Z
Spain,4447044,2021-08-01T00:00:00Z
Spain,4502983,2021-08-02T00:00:00Z
Spain,4523310,2021-08-03T00:00:00Z
Spain,4545184,2021-08-04T00:00:00Z
Spain,4566571,2021-08-05T00:00:00Z
Spain,4588132,2021-08-06T00:00:00Z
Spain,4588132,2021-08-07T00:00:00Z
Spain,4588132,2021-08-08T00:00:00Z
Spain,4627770,2021-08-09T00:00:00Z
Spain,4643450,2021-08-10T00:00:00Z
Spain,4660473,2021-08-11T00:00:00Z
Spain,4677883,2021-08-12T00:00:00Z
Spain,4693540,2021-08-13T00:00:00Z
Spain,4693540,2021-08-14T00:00:00Z
Spain,4693540,2021-08-15T00:00:00Z
